Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E1
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,3,1000078,2344.968,-2625.158,1,3519.99,-48.22663,2.61E-06,0.0213882,8,,
1,4,794390.6,2586.347,-2921.2,1,3901.615,-48.47923,1.44E-06,0.021094,8,,
2,6,630984.4,2892.372,-3312.853,1,4397.819,-48.87658,1.65E-06,0.0210455,8,,
3,7,501234.4,3192.792,-3781.229,1,4948.9,-49.82294,5.39E-07,0.0210999,8,,
4,8,398109.4,3590.498,-4372.54,1,5657.807,-50.60897,1.58E-06,0.020932,8,,
5,10,316265.6,4124.602,-5116.206,1,6571.75,-51.1248,-9.19E-07,0.0214285,8,,
6,11,251203.1,4828.434,-5958.2,1,7669.024,-50.97922,3.65E-07,0.0210558,8,,
7,13,199546.9,5753.399,-6784.927,1,8895.889,-49.70313,-3.76E-06,0.0220273,8,,
8,15,158578.1,7048.646,-7776.99,1,10495.95,-47.81253,1.77E-06,0.0208514,8,,
9,17,125953.1,8619.858,-8506.229,1,12110.24,-44.61986,1.39E-07,0.0208672,7,,
10,18,100078.1,10309.66,-9016.014,1,13695.9,-41.17037,-3.80E-08,0.0211906,7,,
11,20,79453.13,12208.96,-9275.222,1,15332.59,-37.22417,7.04E-08,0.0210313,7,,
12,21,63140.62,14062.78,-9164.199,1,16785.24,-33.09082,4.42E-08,0.0210251,7,,
13,22,50203.12,15805.86,-8815.714,1,18098.13,-29.15058,1.19E-07,0.0209815,7,,
14,24,39890.62,17327.97,-8269.43,1,19200.05,-25.51188,7.63E-08,0.0209982,7,,
15,25,31640.63,18663.84,-7637.864,1,20166.21,-22.25601,7.25E-08,0.0210257,7,,
16,26,25171.88,19689.97,-7000.528,1,20897.43,-19.57222,-2.51E-08,0.0211539,7,,
17,28,20015.62,20543.72,-6407.37,1,21519.73,-17.32215,1.14E-07,0.0209905,7,,
18,29,15890.62,21226.27,-5999.82,1,22057.94,-15.78348,-9.19E-09,0.021185,7,,
19,30,12609.37,21873.71,-5401.804,1,22530.83,-13.87188,1.51E-08,0.020818,6,,
20,32,10078.13,22436.52,-5210.064,1,23033.5,-13.07316,-6.54E-09,0.0211832,6,,
21,33,8015.625,22797.07,-5109.371,1,23362.63,-12.6326,-7.31E-09,0.0211553,6,,
22,34,6328.125,23221.23,-5179.092,1,23791.78,-12.57304,-1.75E-09,0.0209922,6,,
23,36,5015.625,23577.96,-5401.821,1,24188.84,-12.90403,-8.94E-09,0.0211604,6,,
24,37,3984.375,23892.05,-5800.107,1,24586,-13.64533,-4.14E-09,0.021097,6,,
25,38,3170.956,24264.87,-6408.98,1,25096.99,-14.79542,1.32E-08,0.0209158,6,,
26,40,2527.573,24634.97,-7216.21,1,25670.13,-16.32665,2.18E-09,0.020997,6,,
27,41,1976.103,25082.06,-8402.029,1,26451.91,-18.51991,3.36E-09,0.0211234,6,,
28,42,1577.524,25572.58,-9807.22,1,27388.66,-20.98209,4.95E-09,0.0210834,6,,
29,44,1265.625,26142.81,-11535.9,1,28574.88,-23.81018,1.33E-08,0.0209166,6,,
30,45,998.264,26892.86,-13833.49,1,30242.21,-27.22096,1.48E-08,0.0208063,6,,
31,46,796.875,27721.43,-16504.02,1,32262.37,-30.76755,1.50E-08,0.0208037,6,,
32,48,627.7902,28969.94,-19961.18,1,35181.05,-34.56804,-7.20E-09,0.0211457,6,,
33,49,505.5147,30451.96,-23700.76,1,38588.18,-37.89363,3.59E-09,0.0211021,6,,
34,50,397.9953,32337.69,-28613.13,1,43179.12,-41.50314,8.74E-10,0.0210877,6,,
35,52,315.5048,34786.51,-34270.6,1,48832.11,-44.57196,8.30E-10,0.0210839,6,,
36,53,252.4038,37698.74,-40631.49,1,55426.64,-47.1442,4.27E-10,0.0210798,6,,
37,54,198.6229,41528.77,-48524.9,1,63869.43,-49.4423,6.17E-10,0.0210852,6,,
38,56,158.3615,45816.51,-57153.19,1,73250.52,-51.2828,9.13E-10,0.0210771,6,,
39,57,125.558,50979.87,-67346.8,1,84466.2,-52.87518,5.97E-10,0.021083,6,,
40,58,100.4464,56685.18,-78514.23,1,96838.5,-54.17172,3.31E-10,0.0210823,6,,
41,60,79.00281,63696.49,-92366.36,1,112199.8,-55.40958,1.30E-10,0.021082,5,,
42,61,63.3446,71020.95,-109592.3,1,130592.7,-57.05488,3.14E-10,0.0210866,5,,
43,62,49.86702,79026.55,-127385.8,1,149907.7,-58.1857,-1.04E-11,0.0210812,5,,
44,64,39.72458,90103.97,-151471.8,1,176245.3,-59.25343,9.11E-11,0.0210862,5,,
45,65,31.6723,100543.2,-178227.9,1,204631.7,-60.57147,2.19E-10,0.02108,5,,
46,67,24.93351,114621.6,-212372.1,1,241329.8,-61.64334,2.12E-10,0.0210829,5,,
47,68,19.86229,129726.1,-251687.6,1,283152.8,-62.73228,1.92E-10,0.0210891,5,,
48,69,15.83615,147694.4,-303279.4,1,337330.7,-64.03433,-3.99E-10,0.0210832,5,,
49,71,12.40079,171242.4,-357570.2,1,396459.8,-64.40997,6.66E-10,0.0210837,5,,
50,72,9.93114,195583.7,-429637.6,1,472060.9,-65.52357,1.05E-10,0.0210911,5,,
51,74,7.944915,221583.1,-510803.5,1,556793.8,-66.54912,-1.91E-10,0.0210885,5,,
52,75,6.317385,262898,-612721.9,1,666740.9,-66.77749,-7.56E-12,0.021094,5,,
53,77,5.008013,311106.8,-735407.3,1,798505.7,-67.06969,5.04E-10,0.0210786,6,,
54,80,3.945707,373644.3,-884406.2,1,960096,-67.09689,7.91E-11,0.0210847,5,,
55,83,3.158693,446164,-1052156,1,1142845,-67.02075,-2.65E-11,0.0210736,4,,
56,86,2.504006,541061.7,-1253438,1,1365231,-66.65198,1.04E-10,0.0210762,4,,
57,89,1.998082,653066.3,-1478879,1,1616657,-66.17396,-5.81E-12,0.0211102,4,,
58,92,1.584686,793434.9,-1751778,1,1923088,-65.63274,3.83E-11,0.0211307,4,,
59,96,1.266892,951268,-2051020,1,2260883,-65.118,-2.11E-11,0.0210853,4,,
60,100,0.999041,1153043,-2422235,1,2682673,-64.54441,6.87E-11,0.0211064,4,,
Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,,A1-E2
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#,,
0,3,1000078,2344.968,-2625.158,1,3519.99,-4.82E+01,2.61E-06,0.0213882,8,,
1,4,794390.6,2586.347,-2921.2,1,3901.615,-4.85E+01,1.44E-06,0.021094,8,,
2,6,630984.4,2892.372,-3312.853,1,4397.819,-4.89E+01,1.65E-06,0.0210455,8,,
3,7,501234.4,3192.792,-3781.229,1,4948.9,-4.98E+01,5.39E-07,0.0210999,8,,
4,8,398109.4,3590.498,-4372.54,1,5657.807,-5.06E+01,1.58E-06,0.020932,8,,
5,10,316265.6,4124.602,-5116.206,1,6571.75,-5.11E+01,-9.19E-07,0.0214285,8,,
6,11,251203.1,4828.434,-5958.2,1,7669.024,-5.10E+01,3.65E-07,0.0210558,8,,
7,13,199546.9,5753.399,-6784.927,1,8895.889,-4.97E+01,-3.76E-06,0.0220273,8,,
8,15,158578.1,7048.646,-7776.99,1,10495.95,-4.78E+01,1.77E-06,0.0208514,8,,
9,17,125953.1,8619.858,-8506.229,1,12110.24,-4.46E+01,1.39E-07,0.0208672,7,,
10,18,100078.1,10309.66,-9016.014,1,13695.9,-4.12E+01,-3.80E-08,0.0211906,7,,
11,20,79453.13,12208.96,-9275.222,1,15332.59,-3.72E+01,7.04E-08,0.0210313,7,,
12,21,63140.62,14062.78,-9164.199,1,16785.24,-3.31E+01,4.42E-08,0.0210251,7,,
13,22,50203.12,15805.86,-8815.714,1,18098.13,-2.92E+01,1.19E-07,0.0209815,7,,
14,24,39890.62,17327.97,-8269.43,1,19200.05,-2.55E+01,7.63E-08,0.0209982,7,,
15,25,31640.63,18663.84,-7637.864,1,20166.21,-2.23E+01,7.25E-08,0.0210257,7,,
16,26,25171.88,19689.97,-7000.528,1,20897.43,-1.96E+01,-2.51E-08,0.0211539,7,,
17,28,20015.62,20543.72,-6407.37,1,21519.73,-1.73E+01,1.14E-07,0.0209905,7,,
18,29,15890.62,21226.27,-5999.82,1,22057.94,-1.58E+01,-9.19E-09,0.021185,7,,
19,30,12609.37,21873.71,-5401.804,1,22530.83,-1.39E+01,1.51E-08,0.020818,6,,
20,32,10078.13,22436.52,-5210.064,1,23033.5,-1.31E+01,-6.54E-09,0.0211832,6,,
21,33,8015.625,22797.07,-5109.371,1,23362.63,-1.26E+01,-7.31E-09,0.0211553,6,,
22,34,6328.125,23221.23,-5179.092,1,23791.78,-1.26E+01,-1.75E-09,0.0209922,6,,
23,36,5015.625,23577.96,-5401.821,1,24188.84,-1.29E+01,-8.94E-09,0.0211604,6,,
