hi no change
        Pt	T	   Vf	           Vm	         Ach	        Over
	#	s	  V vs. Ref.	   V	          V	        bits
	0	0.258333 7.12487E-001	7.12487E-001	5.99005E-004	...........
	1	0.516667 7.12388E-001	7.07291E-001	6.00705E-004	...........
	2	0.775	 7.11849E-001	7.06095E-001	5.98539E-004	...........
	3	1.03333	 7.10546E-001	7.04029E-001	5.99439E-004	...........
	4	1.29167	 7.08523E-001	6.98245E-001	6.03139E-004	...........
	5	1.55	 7.05878E-001	6.91845E-001	6.01572E-004	...........
	6	1.80833	 7.02450E-001	6.89596E-001	6.04872E-004	...........
	7	2.06667	 6.98347E-001	6.88207E-001	6.04205E-004	...........
	8	2.325	 6.94222E-001	6.83752E-001	6.08239E-004	...........
	9	2.58333	 6.90517E-001	6.77315E-001	6.06205E-004	...........
	10	2.84167	 6.86918E-001	6.73468E-001	6.05372E-004	...........
	11	3.1	 6.82982E-001	6.72185E-001	6.01172E-004	...........
	12	3.35833	 6.78900E-001	6.69147E-001	6.04005E-004	...........
	13	3.61667	 6.75141E-001	6.63344E-001	6.00939E-004	...........
	14	3.875	 6.71648E-001	6.58329E-001	6.00939E-004	...........
	15	4.13333	 6.67958E-001	6.56300E-001	6.04239E-004	...........
	16	4.39167	 6.63993E-001	6.54248E-001	6.04105E-004	...........
	17	4.65	 6.60165E-001	6.49488E-001	6.04472E-004	...........
	18	4.90833	 6.56655E-001	6.43794E-001	6.03572E-004	...........
	19	5.16667	 6.53114E-001	6.40728E-001	6.02839E-004	...........
	20	5.425	 6.49273E-001	6.39118E-001	6.04405E-004	...........
	21	5.68333	 6.45400E-001	6.35528E-001	6.00806E-004	...........
	22	5.94167	 6.41831E-001	6.29942E-001	6.05872E-004	...........
	23	6.2	 6.38402E-001	6.25670E-001	6.01472E-004	...........
	24	6.45833	 6.34735E-001	6.23788E-001	6.00206E-004	...........
	25	6.71667	 6.30877E-001	6.21216E-001	5.99839E-004	...........
	26	6.975	 6.27205E-001	6.16337E-001	5.98939E-004	...........
	27	7.23333	 6.23783E-001	6.11332E-001	6.01905E-004	...........
	28	7.49167	 6.20274E-001	6.08672E-001	6.03672E-004	...........
	29	7.75	 6.16522E-001	6.06674E-001	5.99572E-004	...........
	30	8.00833	 6.12806E-001	6.02712E-001	5.98439E-004	...........
	31	8.26667	 6.09350E-001	5.97533E-001	5.99505E-004	...........
	32	8.525	 6.05946E-001	5.93890E-001	6.01039E-004	...........
	33	8.78333	 6.02318E-001	5.91920E-001	6.01872E-004	...........
	34	9.04167	 5.98588E-001	5.88905E-001	6.00672E-004	...........
	35	9.3	 5.95058E-001	5.84090E-001	6.04839E-004	...........
	36	9.5583	 5.91699E-001	5.79661E-001	5.98805E-004	...........
	37	9.8167	 5.88213E-001	5.77213E-001	6.04539E-004	...........
	38	10.075	 5.84543E-001	5.74886E-001	6.02505E-004	...........
