        Pt	Time	 Freq	         Zreal	         Zimag	       Zsig	Zmod	         Zphz	          Idc	          Vdc	   IERange
	#	s	  Hz	         ohm	          ohm	       ohm  	ohm	           °	          A	           V	        #
	0	2	1000078	        368.9304	-4518.207	1	4533.244	-85.33192	7.659437E-007	0.5867534	8
	1	2	794390.6	403.9876	-5670.087	1	5684.46	        -85.92462	4.643226E-008	0.5864444	8
	2	2	630984.4	444.4019	-7102.307	1	7116.196	-86.41959	2.72678E-007	0.5862784	8
	3	3	501234.4	458.4305	-8908.939	1	8920.727	-87.05431	4.694286E-008	0.5861747	8
	4	3	398109.4	515.6846	-11167.21	1	11179.11	-87.35605	2.470385E-007	0.5861205	8
	5	3	316265.6	615.3029	-14096.63	1	14110.06	-87.50069	-6.553439E-008	0.5861247	8
	6	3	251203.1	662.8172	-17597.6	1	17610.08	-87.84296	1.829643E-007	0.5860644	8
	7	4	199546.9	839.3717	-22075.63	1	22091.58	-87.82252	2.470561E-007	0.5860445	8
	8	4	158578.1	943.025	        -27713.25	1	27729.29	-88.05109	2.140584E-008	0.5861092	8
	9	4	125953.1	1390.932	-34936.52	1	34964.2	        -87.72008	1.019537E-007	0.5858452	7
	10	5	100078.1	1700.574	-43645.17	1	43678.29	-87.76868	7.949695E-011	0.5860918	7
	11	5	79453.13	1869.663	-54845.34	1	54877.2	        -88.04756	8.717864E-009	0.5860823	7
	12	5	63140.62	2300.681	-68791.48	1	68829.95	-88.0845	6.117503E-009	0.5860595	7
	13	6	50203.12	2398.261	-86261.53	1	86294.87	-88.40746	1.38578E-008	0.5860587	7
	14	6	39890.62	3050.514	-108035.3	1	108078.3	-88.38261	2.404901E-009	0.5860798	7
	15	6	31640.63	3424.697	-135926	        1	135969.1	-88.55672	1.864576E-009	0.5860768	7
	16	7	25171.88	4052.314	-170012.4	1	170060.6	-88.63459	9.782749E-009	0.586065	7
	17	7	20015.62	4227.186	-213841.8	1	213883.6	-88.86754	1.248088E-008	0.5860458	7
	18	7	15890.62	4872.088	-268735	        1	268779.1	-88.96136	1.275794E-008	0.5860431	7
	19	8	12609.37	10643.96	-338002.1	1	338169.7	-88.1963	2.252856E-009	0.5860294	6
	20	8	10078.13	13049.99	-421784.8	1	421986.6	-88.22784	1.677862E-009	0.5860487	6
	21	8	8015.625	15304.71	-528047.9	1	528269.6	-88.33983	1.230805E-009	0.5860202	6
	22	8	6328.125	18552.78	-666257.6	1	666515.8	-88.40494	1.766673E-011	0.5860394	6
	23	9	5015.625	23551.54	-838079  	1	838409.9	-88.39031	5.327289E-011	0.5860605	6
	24	9	3984.375	29901.43	-1050799	1	1051225	        -88.37004       -2.663927E-010	0.5860569	6
	25	9	3170.956	33146.56	-1316823	1	1317240	        -88.55807	-6.135416E-010	0.5860551	6
	26	10	2527.573	37494.86	-1651328	1	1651753	        -88.69927	4.610498E-010	0.58602	        6
	27	10	1976.103	12350.28	-2122949	1	2122985	        -89.66669	4.210056E-010	0.5860196	6
	28	10	1577.524	11376.03	-2618066	1	2618090	        -89.75104	1.54423E-009	0.5860444	6
	29	11	1265.625	128062.6	-3266708	1	3269217	        -87.75502	-1.116284E-010	0.5860564	5
	30	11	998.264	        153090.8	-4137205        1	4140037	        -87.88083	-8.111784E-011	0.5860327	5
	31	11	796.875	        157765.1	-5166895	1	5169303	        -88.25108	-3.03347E-011	0.5860313	5
	32	12	627.7902	129753.1	-6537746	1	6539033	        -88.86301	-8.291478E-011	0.5860323	5
	33	12	505.5147	223878.8	-8033829	1	8036948	        -88.40375	-2.27063E-011	0.5860338	5
	34	12	397.9953	266368.8	-1.024547E+007	1	1.024893E+007	-88.51072	6.470473E-011	0.5860482	5
	35	13	315.5048	139038.4	-1.286757E+007	1	1.286832E+007	-89.38092	3.628665E-011	0.5860459	5
	36	13	252.4038	352978.6	-1.589926E+007	1	1.590318E+007	-88.72819	5.724555E-011	0.5860463	5
	37	14	198.6229	348755.4	-2.029234E+007	1	2.029534E+007	-89.01538	3.201982E-011	0.5860489	5
	38	14	158.3615	1025608	        -2.470807E+007	1	2.472935E+007	-87.62307	3.768951E-012	0.5860475	5
	39	14	125.558	        820562	        -3.199112E+007	1	3.204288E+007	-86.7429	1.726959E-011	0.5860651	4
	40	15	100.4464	-3183448	-3.903764E+007	1	3.916723E+007	-94.66205	-6.81778E-011	0.5860614	4
	41	15	79.00281	1.55874E+007	-4.631922E+007	1	4.887164E+007	-71.40082	7.648245E-011	0.586061	4
	42	15	63.3446	        -8.865709E+007	-2.161512E+007	1	9.1254E+007	-166.2983	-3.052463E-011	0.5860573	4
	43	16	49.86702	-1.119781E+007	-7.568347E+007	1	7.650738E+007	-98.4162	1.790891E-011	0.5860531	4
	44	17	39.72458	2.47965E+007	-9.967208E+007	1	1.027102E+008	-76.02952	2.94404E-011	0.5860558	4
	45	17	31.6723	        -6.486691E+007	-1.729366E+008	1	1.847019E+008	-110.5606	-3.294162E-011	0.5860541	4
	46	18	24.93351	5179335	        -1.528314E+008	1	1.529192E+008	-88.05904	8.978292E-012	0.5860526	4
	47	18	19.86229	-1.398202E+007	-1.941864E+008	1	1.946892E+008	-94.11836	9.790816E-012	0.5860541	4
	48	18	15.83615	-4.202722E+007	-1.322434E+008	1	1.387609E+008	-107.6304	5.943022E-011	0.5860495	4
	49	19	12.40079	3.086155E+008	-1.830343E+008	1	3.588107E+008	-30.67142	-4.263697E-011	0.5860392	3
	50	20	9.93114	        1.085639E+008	-4.132236E+008	1	4.272469E+008	-75.27966	1.430492E-011	0.5860335	3
	51	20	7.944915	-1.5861E+008	-8.662814E+008	1	8.806819E+008	-100.3755	2.043825E-011	0.5860326	3
	52	21	6.317385	1.569575E+007	-6.190145E+008	1	6.192135E+008	-88.54752	4.133324E-012	0.5860527	3
	53	23	5.008013	1.124476E+008	-7.014676E+008	1	7.104233E+008	-80.89278	3.545354E-012	0.5860609	4
